transacao_id,conta_id,cartao_id,tipo_transacao,valor,moeda,descricao,estabelecimento,cidade,status_transacao,data_hora_transacao,data_processamento,ingestion_at,_dataset_name,_source_batch,_source_file,_row_number,source_batch,late_arriving_flag,device_id,ip_origem,_validation_errors,_is_valid
c5b5a7dd-10a7-4a65-8629-b62cccaf488d,1164,,BOLETO,7298.67,BRL,Enim modi voluptatem laborum placeat nesciunt.,,da Costa,APROVADA,2026-04-22T02:28:11,2026-07-23T03:44:11,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,262,batch_003,True,,,duplicidade:transacao_id,False
9e9b11c6-23fe-4122-8cda-11212593c565,206,,SAQUE,2773.22,BRL,Officia deserunt perferendis.,,Moraes,APROVADA,2026-06-13T04:10:18,2026-07-21T07:05:18,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,263,batch_003,True,,,duplicidade:transacao_id,False
2ac4b9be-bfcf-4c26-9131-bdad922883f7,266,,SAQUE,18862.9,BRL,Commodi repellendus voluptates fugit labore.,,Freitas do Galho,APROVADA,2026-05-15T21:14:07,2026-07-20T21:29:07,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,264,batch_003,True,,,duplicidade:transacao_id,False
b9426f98-23a5-4681-a54e-6f555bea5491,280,,BOLETO,19571.8,BRL,Ipsam animi vero corrupti quia.,,Garcia,APROVADA,2026-04-20T00:16:49,2026-07-21T02:29:49,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,265,batch_003,True,,,duplicidade:transacao_id,False
0d386d25-38ba-454b-ae8d-0b0d8e76c59e,965,,SAQUE,13871.05,BRL,Ullam et nemo magnam odio fuga.,,Lima de Correia,APROVADA,2026-05-12T10:48:41,2026-07-19T13:08:41,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,266,batch_003,True,,,duplicidade:transacao_id,False
d9674e5c-ec5b-45fe-99a2-f775c0465469,1161,,SAQUE,7224.8,BRL,Placeat in doloremque.,,Marques de Castro,APROVADA,2026-04-30T19:02:54,2026-07-20T20:43:54,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,267,batch_003,True,,,duplicidade:transacao_id,False
a3ddcdab-d427-4ae3-9b18-cd7eb19f12d1,686,,SAQUE,12127.94,BRL,Voluptates soluta harum quibusdam consequatur.,,da Mata das Pedras,APROVADA,2026-05-02T08:17:23,2026-07-22T08:38:23,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,268,batch_003,True,,,duplicidade:transacao_id,False
1e3b00f3-5a0f-462b-949b-bef5eb8f7326,960,171.0,CARTAO,14581.79,BRL,Molestiae enim dolores optio optio magni.,das Neves e Filhos,Rodrigues,APROVADA,2026-05-15T12:30:18,2026-07-22T14:33:18,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,269,batch_003,True,,,duplicidade:transacao_id,False
8fa0482f-6c39-4e58-965c-a94b211deaef,896,,BOLETO,15269.42,BRL,Eius eligendi sapiente vel.,,da Cunha,APROVADA,2026-04-16T21:56:44,2026-07-25T23:05:44,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,270,batch_003,True,,,duplicidade:transacao_id,False
e1a840a0-c5aa-43ba-9b25-62c026d73daf,913,,BOLETO,17596.43,BRL,Dicta odit rem.,,Sá dos Dourados,APROVADA,2026-04-28T03:03:57,2026-07-24T05:02:57,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,271,batch_003,True,,,duplicidade:transacao_id,False
72695069-89dd-46e5-a13c-bd9dd6fba801,699,,TED,16168.93,BRL,Maxime odit officiis quae.,,Silva,APROVADA,2026-06-10T10:54:23,2026-07-19T12:07:23,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,272,batch_003,True,,,duplicidade:transacao_id,False
392e3167-29ec-4a6c-9b22-085cf87f667e,519,,CARTAO,9359.16,BRL,Placeat earum autem ad.,Montenegro S/A,Pinto da Praia,APROVADA,2026-05-14T10:42:13,2026-07-23T11:47:13,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,273,batch_003,True,,,duplicidade:transacao_id,False
48bb02aa-4b4f-48e7-9543-25b4e7a79149,547,,PIX,19775.98,BRL,At perferendis expedita earum.,,Martins,APROVADA,2026-05-21T01:22:24,2026-07-22T01:56:24,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,274,batch_003,True,,,duplicidade:transacao_id,False
96f97a22-c947-4735-a3b2-fc447acd19e2,693,,SAQUE,3208.57,BRL,Perspiciatis expedita cupiditate odit quae deserunt.,,Macedo da Prata,APROVADA,2026-06-06T17:54:14,2026-07-22T20:38:14,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,275,batch_003,True,,,duplicidade:transacao_id,False
13995770-9127-4838-9cec-441e3eb0f917,433,,BOLETO,6307.89,BRL,Voluptate quibusdam temporibus excepturi.,,da Cunha Alegre,APROVADA,2026-06-03T19:47:19,2026-07-19T21:55:19,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,276,batch_003,True,,,duplicidade:transacao_id,False
cf3dd750-ea8b-4d86-bc62-ea05cb85f591,553,810.0,CARTAO,9640.76,BRL,Est voluptatem ex minus accusamus.,Caldeira - ME,Aparecida,APROVADA,2026-04-02T10:25:01,2026-07-25T12:05:01,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,277,batch_003,True,,,duplicidade:transacao_id,False
8b26a88b-78c9-403e-bbd0-029008fb1982,625,233.0,CARTAO,10373.98,BRL,Ab cum vel nostrum ipsam.,Gonçalves Moraes Ltda.,Moreira,APROVADA,2026-06-08T17:58:10,2026-07-24T18:53:10,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,278,batch_003,True,,,duplicidade:transacao_id,False
c46a9704-a66c-40ba-a291-8a3e2ae82269,325,439.0,CARTAO,9632.2,BRL,Atque facere est necessitatibus et.,da Paz da Paz Ltda.,da Costa Verde,APROVADA,2026-06-15T23:15:43,2026-07-25T00:42:43,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,279,batch_003,True,,,duplicidade:transacao_id,False
5607b010-12f3-4d08-919d-f4ba58b1046c,755,,BOLETO,5629.06,BRL,Unde vel autem.,,Aparecida,APROVADA,2026-04-25T07:03:58,2026-07-20T09:45:58,2026-07-25T23:29:53,transacoes,batch_003,data\landing\transacoes\batch_003\transacoes.csv,280,batch_003,True,,,duplicidade:transacao_id,False
