cartao_id,conta_id,numero_cartao_mascarado,bandeira,tipo_cartao,limite_total,limite_disponivel,status_cartao,data_emissao,updated_at,cdc_operation,cdc_sequence,cdc_event_at,source_batch
809,352,**** **** **** 6279,VISA,MULTIPLO,37361.5,34599.05,ATIVO,2025-01-18,2026-07-25T23:19:00,U,6031,2026-07-25T23:19:00,batch_002
436,1007,**** **** **** 4009,MASTERCARD,DEBITO,18422.23,37351.88,ATIVO,2024-03-15,2026-07-25T23:19:00,U,6032,2026-07-25T23:19:00,batch_002
564,84,**** **** **** 4028,ELO,CREDITO,40383.76,3694.2,ATIVO,2024-02-29,2026-07-25T23:19:00,U,6033,2026-07-25T23:19:00,batch_002
72,258,**** **** **** 7361,ELO,MULTIPLO,6749.32,11973.53,BLOQUEADO,2025-08-26,2026-07-25T23:19:00,U,6034,2026-07-25T23:19:00,batch_002
73,861,**** **** **** 8947,VISA,MULTIPLO,23275.84,28642.56,ATIVO,2024-08-12,2026-07-25T23:19:00,U,6035,2026-07-25T23:19:00,batch_002
772,1017,**** **** **** 6007,ELO,DEBITO,2211.72,23886.09,ATIVO,2021-08-19,2026-07-25T23:19:00,U,6036,2026-07-25T23:19:00,batch_002
352,751,**** **** **** 8459,VISA,MULTIPLO,24787.21,21070.58,BLOQUEADO,2025-06-28,2026-07-25T23:19:00,U,6037,2026-07-25T23:19:00,batch_002
787,323,**** **** **** 3954,ELO,MULTIPLO,17970.03,25608.46,ATIVO,2022-12-01,2026-07-25T23:19:00,U,6038,2026-07-25T23:19:00,batch_002
302,331,**** **** **** 6125,MASTERCARD,DEBITO,13721.29,30145.22,ATIVO,2023-02-05,2026-07-25T23:19:00,U,6039,2026-07-25T23:19:00,batch_002
194,1077,**** **** **** 4247,VISA,MULTIPLO,20120.52,2760.22,ATIVO,2024-10-10,2026-07-25T23:19:00,U,6040,2026-07-25T23:19:00,batch_002
239,80,**** **** **** 4493,MASTERCARD,DEBITO,39894.57,24645.18,ATIVO,2023-12-29,2026-07-25T23:19:00,U,6041,2026-07-25T23:19:00,batch_002
473,95,**** **** **** 6390,ELO,MULTIPLO,29735.44,26971.65,BLOQUEADO,2024-02-23,2026-07-25T23:19:00,U,6042,2026-07-25T23:19:00,batch_002
599,1007,**** **** **** 1709,MASTERCARD,MULTIPLO,29562.16,32821.42,BLOQUEADO,2025-11-05,2026-07-25T23:19:00,U,6043,2026-07-25T23:19:00,batch_002
530,1088,**** **** **** 2732,MASTERCARD,CREDITO,6908.15,26788.45,ATIVO,2022-04-25,2026-07-25T23:19:00,U,6044,2026-07-25T23:19:00,batch_002
434,538,**** **** **** 9499,VISA,MULTIPLO,10968.25,19238.77,ATIVO,2025-01-08,2026-07-25T23:19:00,U,6045,2026-07-25T23:19:00,batch_002
687,1013,**** **** **** 3545,MASTERCARD,DEBITO,1765.09,2695.04,BLOQUEADO,2025-04-09,2026-07-25T23:19:00,U,6046,2026-07-25T23:19:00,batch_002
210,1194,**** **** **** 7716,MASTERCARD,MULTIPLO,2768.7,4389.54,ATIVO,2023-06-08,2026-07-25T23:19:00,U,6047,2026-07-25T23:19:00,batch_002
736,954,**** **** **** 6757,VISA,CREDITO,35028.88,5104.19,ATIVO,2022-08-06,2026-07-25T23:19:00,U,6048,2026-07-25T23:19:00,batch_002
345,520,**** **** **** 8237,VISA,MULTIPLO,17108.64,16624.44,ATIVO,2022-05-10,2026-07-25T23:19:00,U,6049,2026-07-25T23:19:00,batch_002
451,545,**** **** **** 9043,MASTERCARD,CREDITO,44843.52,13920.57,ATIVO,2025-12-09,2026-07-25T23:19:00,U,6050,2026-07-25T23:19:00,batch_002
864,63,**** **** **** 5468,MASTERCARD,CREDITO,19172.44,2447.84,ATIVO,2024-08-11,2026-07-25T23:19:00,U,6051,2026-07-25T23:19:00,batch_002
204,1082,**** **** **** 8129,VISA,CREDITO,34651.83,6012.83,ATIVO,2025-04-22,2026-07-25T23:19:00,U,6052,2026-07-25T23:19:00,batch_002
774,138,**** **** **** 1067,VISA,DEBITO,52789.08,39753.02,ATIVO,2023-09-28,2026-07-25T23:19:00,U,6053,2026-07-25T23:19:00,batch_002
37,978,**** **** **** 5131,ELO,MULTIPLO,24900.89,23769.58,ATIVO,2025-06-09,2026-07-25T23:19:00,U,6054,2026-07-25T23:19:00,batch_002
523,999,**** **** **** 8993,MASTERCARD,MULTIPLO,6693.7,27637.42,ATIVO,2025-07-31,2026-07-25T23:19:00,U,6055,2026-07-25T23:19:00,batch_002
756,826,**** **** **** 0173,ELO,MULTIPLO,18712.71,39744.64,ATIVO,2025-04-24,2026-07-25T23:19:00,U,6056,2026-07-25T23:19:00,batch_002
476,848,**** **** **** 2486,VISA,MULTIPLO,18632.48,36682.29,ATIVO,2026-04-11,2026-07-25T23:19:00,U,6057,2026-07-25T23:19:00,batch_002
249,1169,**** **** **** 6084,ELO,DEBITO,5212.2,39955.01,ATIVO,2021-10-19,2026-07-25T23:19:00,U,6058,2026-07-25T23:19:00,batch_002
333,444,**** **** **** 4587,VISA,DEBITO,34255.93,22647.54,ATIVO,2025-11-02,2026-07-25T23:19:00,U,6059,2026-07-25T23:19:00,batch_002
560,1037,**** **** **** 9182,MASTERCARD,MULTIPLO,32757.01,37283.04,BLOQUEADO,2025-06-13,2026-07-25T23:19:00,U,6060,2026-07-25T23:19:00,batch_002
90,533,**** **** **** 9058,VISA,DEBITO,13021.99,3730.62,CANCELADO,2023-02-07,2026-07-25T23:19:00,D,7001,2026-07-25T23:19:00,batch_002
696,294,**** **** **** 5960,VISA,DEBITO,15548.55,25322.79,CANCELADO,2025-03-27,2026-07-25T23:19:00,D,7002,2026-07-25T23:19:00,batch_002
246,650,**** **** **** 0687,ELO,MULTIPLO,14449.19,38068.15,CANCELADO,2025-05-11,2026-07-25T23:19:00,D,7003,2026-07-25T23:19:00,batch_002
222,370,**** **** **** 4630,VISA,DEBITO,21630.38,26208.36,CANCELADO,2024-11-12,2026-07-25T23:19:00,D,7004,2026-07-25T23:19:00,batch_002
454,150,**** **** **** 3218,MASTERCARD,CREDITO,27071.99,19041.43,CANCELADO,2023-11-03,2026-07-25T23:19:00,D,7005,2026-07-25T23:19:00,batch_002
621,688,**** **** **** 7190,VISA,DEBITO,5093.59,9831.04,CANCELADO,2026-05-27,2026-07-25T23:19:00,D,7006,2026-07-25T23:19:00,batch_002
641,997,**** **** **** 5180,ELO,MULTIPLO,32304.7,25123.42,CANCELADO,2022-08-29,2026-07-25T23:19:00,D,7007,2026-07-25T23:19:00,batch_002
644,136,**** **** **** 5946,ELO,DEBITO,35423.46,33130.18,CANCELADO,2026-04-19,2026-07-25T23:19:00,D,7008,2026-07-25T23:19:00,batch_002
