evento_risco_id,transacao_id,score_risco,nivel_risco,regra_acionada,decisao,data_hora_evento,detalhes,source_batch,modelo_risco,versao_modelo
0d4da250-3396-4b22-9bda-c962a0d3c226,50ef6adf-fd73-4061-83b4-3118b9a68d18,52.42,MEDIO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-25T17:11:09,Officiis quo accusantium dolores incidunt amet.,batch_003,risk_model_v2,2.0
3b5a9c04-6b35-4e46-90f8-96392207eeb1,18a63c53-11fc-4c0c-a56f-4fba2e72a124,21.19,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T17:05:25,Tenetur perspiciatis autem ipsa a molestias earum nobis excepturi laboriosam.,batch_003,risk_model_v2,2.0
7cb56b03-9597-41ab-bd4c-3ecccea2da03,7571ecda-ba2b-4571-a734-1b3c662ecea2,12.22,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-21T23:21:49,Optio minus consectetur illo nesciunt libero.,batch_003,risk_model_v2,2.0
d73babc6-42c9-4e3c-adaa-9708869e8525,ddd822f8-3f56-4495-89b7-5b991ffd2b2c,98.39,ALTO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-21T09:16:05,Alias vel eos ea sit fugiat suscipit porro occaecati nostrum libero.,batch_003,risk_model_v2,2.0
83bf59cb-74e2-4cad-a43d-4e6fa635eafc,4ab2e481-3aba-44e6-ba11-59d7f4990cf3,67.23,MEDIO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-22T03:22:29,Id commodi eius at eligendi vel.,batch_003,risk_model_v2,2.0
2e1c0550-2745-46df-80dc-9a78ed4909b1,cf13f883-402f-432d-85aa-34bf3d32dfc7,88.6,ALTO,VALOR_ATIPICO,APROVAR,2026-07-20T10:36:47,Voluptatibus sit atque eius sapiente voluptate tenetur voluptatibus.,batch_003,risk_model_v2,2.0
3f6fa563-6d7a-43dd-8c53-20673ab5b4ef,558e51d1-bc54-4f07-93ca-f7cf405d5278,47.66,MEDIO,MULTIPLAS_TENTATIVAS,APROVAR,2026-07-20T10:19:05,Omnis aperiam quo deleniti quasi cumque aspernatur.,batch_003,risk_model_v2,2.0
7835166e-60d0-480a-8cf1-c878e4309d0e,feb2af98-315c-4a09-9825-3ca0fff22217,89.19,ALTO,DISPOSITIVO_DESCONHECIDO,BLOQUEAR,2026-07-24T02:28:02,Eligendi veritatis dicta nobis corrupti necessitatibus blanditiis officiis voluptates.,batch_003,risk_model_v2,2.0
6a251a1b-505e-4ca4-90c6-3a311e24cdd5,0dc9ea8d-b294-4995-ba10-da9628ea123f,150.0,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-19T02:17:44,Inventore tempora voluptate dolore quos illum sapiente eum perferendis ipsam.,batch_003,,
2f1957b8-9586-456b-b95d-31246a25c197,5ae54beb-99c1-4455-b388-cceb2ee62fd9,32.62,INVALIDO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-19T21:58:51,Tempore ipsam fugit illum tenetur dolor reprehenderit reprehenderit adipisci.,batch_003,,
01ca41d4-b0e9-43f3-8992-4ed8e10b669d,INEXISTENTE,69.43,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T07:33:25,Iure laborum corporis molestias voluptatum ea quae sapiente consequuntur ea.,batch_003,,
69dc826d-6e12-4af7-8fdd-e9ccbf21e79c,8c6e817b-9920-45cf-a0e5-77ce5fad7c12,15.25,BAIXO,DISPOSITIVO_DESCONHECIDO,,2026-07-22T14:27:52,Earum totam labore odit ullam.,batch_003,,
a601f09c-40d1-424d-9096-06baf53c28d4,c57efa1a-7d91-40dd-86f1-267c7acb8c5c,12.2,BAIXO,VALOR_ATIPICO,BLOQUEAR,DATA_INVALIDA,Rem ducimus alias voluptas occaecati aliquid est.,batch_003,,
